gsm,field,raw_value,reason
GSM3647378,age,12,number_without_unit
GSM3647379,age,12,number_without_unit
GSM3647380,age,12,number_without_unit
GSM3647381,age,12,number_without_unit
GSM3647382,age,12,number_without_unit
GSM3647383,age,12,number_without_unit
GSM3647384,age,12,number_without_unit
GSM3647385,age,12,number_without_unit
GSM3647386,age,12,number_without_unit
GSM3647387,age,12,number_without_unit
GSM3647388,age,12,number_without_unit
GSM3647389,age,12,number_without_unit
GSM3647390,age,12,number_without_unit
GSM3647391,age,12,number_without_unit
GSM3647392,age,12,number_without_unit
GSM3647393,age,12,number_without_unit
GSM3647394,age,12,number_without_unit
GSM3647395,age,12,number_without_unit
GSM3647396,age,12,number_without_unit
GSM3647397,age,12,number_without_unit
GSM3647398,age,12,number_without_unit
GSM3647399,age,12,number_without_unit
GSM3647400,age,12,number_without_unit
GSM3647401,age,12,number_without_unit
GSM3647402,age,12,number_without_unit
GSM3647403,age,12,number_without_unit
GSM3647404,age,12,number_without_unit
GSM3647405,age,12,number_without_unit
GSM3647406,age,12,number_without_unit
GSM3647407,age,12,number_without_unit
GSM3647408,age,12,number_without_unit
GSM3647409,age,12,number_without_unit
GSM3647410,age,12,number_without_unit
GSM3647411,age,12,number_without_unit
GSM3647412,age,12,number_without_unit
GSM3647413,age,12,number_without_unit
GSM3647414,age,12,number_without_unit
GSM3647415,age,12,number_without_unit
GSM3647416,age,12,number_without_unit
GSM3647417,age,12,number_without_unit
GSM3647418,age,12,number_without_unit
GSM3647419,age,12,number_without_unit
GSM3647420,age,12,number_without_unit
GSM3647421,age,12,number_without_unit
GSM3647422,age,12,number_without_unit
GSM3647423,age,12,number_without_unit
GSM3647424,age,12,number_without_unit
GSM3647425,age,12,number_without_unit
GSM3647426,age,12,number_without_unit
GSM3647427,age,12,number_without_unit
GSM3647428,age,12,number_without_unit
GSM3647429,age,12,number_without_unit
GSM3647430,age,12,number_without_unit
GSM3647431,age,12,number_without_unit
GSM3647432,age,12,number_without_unit
GSM3647433,age,12,number_without_unit
GSM3647434,age,12,number_without_unit
GSM3647435,age,12,number_without_unit
GSM3647436,age,12,number_without_unit
GSM3647437,age,12,number_without_unit
GSM3647438,age,12,number_without_unit
GSM3647439,age,12,number_without_unit
GSM3647440,age,12,number_without_unit
GSM3647441,age,12,number_without_unit
GSM3647442,age,12,number_without_unit
GSM3647443,age,12,number_without_unit
GSM3647444,age,12,number_without_unit
GSM3647445,age,12,number_without_unit
GSM3647446,age,12,number_without_unit
GSM3647447,age,12,number_without_unit
GSM3647448,age,12,number_without_unit
GSM3647449,age,12,number_without_unit
GSM3647450,age,12,number_without_unit
GSM3647451,age,12,number_without_unit
GSM3647452,age,12,number_without_unit
GSM3647453,age,12,number_without_unit
GSM3647454,age,12,number_without_unit
GSM3647455,age,12,number_without_unit
GSM3647456,age,12,number_without_unit
GSM3647457,age,12,number_without_unit
GSM3647458,age,12,number_without_unit
GSM3647459,age,12,number_without_unit
GSM3647460,age,12,number_without_unit
GSM3647461,age,12,number_without_unit
GSM3647462,age,12,number_without_unit
GSM3647463,age,12,number_without_unit
GSM3647464,age,12,number_without_unit
GSM3647465,age,12,number_without_unit
GSM3647466,age,12,number_without_unit
GSM3647467,age,12,number_without_unit
GSM3647468,age,12,number_without_unit
GSM3647469,age,12,number_without_unit
GSM3647470,age,12,number_without_unit
GSM3647471,age,12,number_without_unit
GSM3647472,age,12,number_without_unit
GSM3647473,age,12,number_without_unit
GSM3647474,age,12,number_without_unit
GSM3647475,age,12,number_without_unit
GSM3647476,age,12,number_without_unit
GSM3647477,age,12,number_without_unit
GSM3647478,age,12,number_without_unit
GSM3647479,age,12,number_without_unit
GSM3647480,age,12,number_without_unit
GSM3647481,age,12,number_without_unit
GSM3647482,age,12,number_without_unit
GSM3647483,age,12,number_without_unit
GSM3647484,age,12,number_without_unit
GSM3647485,age,12,number_without_unit
GSM3647486,age,12,number_without_unit
GSM3647487,age,12,number_without_unit
GSM3647488,age,12,number_without_unit
GSM3647489,age,12,number_without_unit
GSM3647490,age,12,number_without_unit
GSM3647491,age,12,number_without_unit
GSM3647492,age,12,number_without_unit
GSM3647493,age,12,number_without_unit
GSM3647494,age,12,number_without_unit
GSM3647495,age,12,number_without_unit
GSM3647496,age,12,number_without_unit
GSM3647497,age,12,number_without_unit
GSM3647498,age,12,number_without_unit
GSM3647499,age,12,number_without_unit
GSM3647500,age,12,number_without_unit
GSM3647501,age,12,number_without_unit
GSM3647502,age,12,number_without_unit
GSM3647503,age,12,number_without_unit
GSM3647504,age,12,number_without_unit
GSM3647505,age,12,number_without_unit
GSM3647506,age,12,number_without_unit
GSM3647507,age,12,number_without_unit
GSM3647508,age,12,number_without_unit
GSM3647509,age,12,number_without_unit
GSM3647510,age,12,number_without_unit
GSM3647511,age,12,number_without_unit
GSM3647512,age,12,number_without_unit
GSM3647513,age,12,number_without_unit
GSM3647514,age,12,number_without_unit
GSM3647515,age,12,number_without_unit
GSM3647516,age,12,number_without_unit
GSM3647517,age,12,number_without_unit
GSM3647518,age,12,number_without_unit
GSM3647519,age,12,number_without_unit
GSM3647520,age,12,number_without_unit
GSM3647521,age,12,number_without_unit
GSM3647522,age,12,number_without_unit
GSM3647523,age,12,number_without_unit
GSM3647524,age,12,number_without_unit
GSM3647525,age,12,number_without_unit
GSM3647526,age,12,number_without_unit
GSM3647527,age,12,number_without_unit
GSM3647528,age,12,number_without_unit
GSM3647529,age,12,number_without_unit
GSM3647530,age,12,number_without_unit
GSM3647531,age,12,number_without_unit
GSM3647532,age,12,number_without_unit
GSM3647533,age,12,number_without_unit
GSM3647534,age,12,number_without_unit
GSM3647535,age,12,number_without_unit
GSM3647536,age,12,number_without_unit
GSM3647537,age,12,number_without_unit
GSM3647538,age,12,number_without_unit
GSM3647539,age,12,number_without_unit
GSM3647540,age,12,number_without_unit
GSM3647541,age,12,number_without_unit
GSM3647542,age,12,number_without_unit
GSM3647543,age,12,number_without_unit
GSM3647544,age,12,number_without_unit
GSM3647545,age,12,number_without_unit
GSM3647546,age,12,number_without_unit
GSM3647547,age,12,number_without_unit
GSM3647548,age,12,number_without_unit
GSM3647549,age,12,number_without_unit
GSM3647550,age,12,number_without_unit
GSM3647551,age,12,number_without_unit
GSM3647552,age,12,number_without_unit
GSM3647553,age,12,number_without_unit
GSM3647554,age,12,number_without_unit
GSM3647555,age,12,number_without_unit
GSM3647556,age,12,number_without_unit
GSM3647557,age,12,number_without_unit
GSM3647558,age,12,number_without_unit
GSM3647559,age,12,number_without_unit
GSM3647560,age,12,number_without_unit
GSM3647561,age,12,number_without_unit
GSM3647562,age,12,number_without_unit
GSM3647563,age,12,number_without_unit
GSM3647564,age,12,number_without_unit
GSM3647565,age,12,number_without_unit
GSM3647566,age,12,number_without_unit
GSM3647567,age,12,number_without_unit
GSM3647568,age,12,number_without_unit
GSM3647569,age,12,number_without_unit
GSM3647570,age,12,number_without_unit
GSM3647571,age,12,number_without_unit
GSM3647572,age,12,number_without_unit
GSM3647573,age,12,number_without_unit
GSM3647574,age,12,number_without_unit
GSM3647575,age,12,number_without_unit
GSM3647576,age,12,number_without_unit
GSM3647577,age,12,number_without_unit
GSM3647578,age,12,number_without_unit
GSM3647579,age,12,number_without_unit
GSM3647580,age,12,number_without_unit
GSM3647581,age,12,number_without_unit
GSM3647582,age,12,number_without_unit
GSM3647583,age,12,number_without_unit
GSM3647584,age,12,number_without_unit
GSM3647585,age,12,number_without_unit
GSM3647586,age,12,number_without_unit
GSM3647587,age,12,number_without_unit
GSM3647588,age,12,number_without_unit
GSM3647589,age,12,number_without_unit
GSM3647590,age,12,number_without_unit
GSM3647591,age,12,number_without_unit
GSM3647592,age,12,number_without_unit
GSM3647593,age,12,number_without_unit
GSM3647594,age,12,number_without_unit
GSM3647595,age,12,number_without_unit
GSM3647596,age,12,number_without_unit
GSM3647597,age,12,number_without_unit
GSM3647598,age,12,number_without_unit
GSM3647599,age,12,number_without_unit
GSM3647600,age,12,number_without_unit
GSM3647601,age,12,number_without_unit
GSM3647602,age,12,number_without_unit
GSM3647603,age,12,number_without_unit
GSM3647604,age,12,number_without_unit
GSM3647605,age,12,number_without_unit
GSM3647606,age,12,number_without_unit
GSM3647607,age,12,number_without_unit
GSM3647608,age,12,number_without_unit
GSM3647609,age,12,number_without_unit
