gse,title,organism,data_type,published,in_scope,exclusion_reason,fetch_error,score,tier,geo_url
GSE182973,Sex modulates microglia in the aging brain,Mus musculus,bulk RNA-seq,2025-07-17,True,,,92.5,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182973
GSE309778,Lysosomal multi-omics reveals altered sphingolipid catabolism as driver of lysosomal dysfunction in the aging brain.,Mus musculus,bulk RNA-seq,2026-08-31,True,,,92.5,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309778
GSE75083,Progranulin Deficiency Promotes Circuit-Specific Synaptic Pruning by Microglia via Complement Activation,Mus musculus,microarray,2016-03-31,True,,,91.6,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75083
GSE99074,Transcriptomic analysis of purified human cortical microglia reveals age-associated changes,Homo sapiens; Mus musculus,bulk RNA-seq,2017-05-19,True,,,90.8,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE99074
GSE122085,"Characterisation of young, old and old repopulating microglia in spinal cord and brain of C57BL/6 wild type male mice",Mus musculus,bulk RNA-seq,2019-08-31,True,,,90.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122085
GSE123847,RNA sequencing after forced turnover of adult and aged microglia,Mus musculus,bulk RNA-seq,2018-12-15,True,,,90.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123847
GSE127542,RNA-seq of microglia isolated from the hippocampi of young and aged mice,Mus musculus,bulk RNA-seq,2019-03-01,True,,,90.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE127542
GSE128770,Age Attenuates the Transcriptional Changes that Occur with Sleep in the Medial Prefrontal Cortex,Mus musculus,bulk RNA-seq,2020-01-03,True,,,90.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE128770
GSE142361,Transcriptomic and Functional Studies Reveal Undermined Chemotactic and Angiostimulatory Properties of Aged Microglia During Stroke Recovery,Mus musculus,bulk RNA-seq,2020-01-31,True,,,90.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE142361
GSE145265,Transcriptomic analysis of mouse brain microglia on aging-associated changes in response to cerebral ischemia,Mus musculus,bulk RNA-seq,2020-05-31,True,,,90.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145265
GSE154920,Transcriptomes of ATG7 Knockout Microglia,Mus musculus,bulk RNA-seq,2020-10-15,True,,,90.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154920
GSE168430,"Identification and drug-induced reversion of molecular signatures of Alzheimer´s disease onset and progression in AppNL-G-F, AppNL-F and 3xTg-AD mouse models (RNA-seq: WT/NLF/NLGF)",Mus musculus,bulk RNA-seq,2021-09-03,True,,,90.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168430
GSE182719,Gut microbiota drives age-related oxidative stress and mitochondrial damage in microglia via the metabolite N(6)-Carboxymethyllysine,Mus musculus,bulk RNA-seq,2022-01-23,True,,,90.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182719
GSE205803,Naturally-aged microglia exhibit phagocytic dysfunction accompanied by gene expression changes reflective of underlying neurologic disease,Mus musculus,bulk RNA-seq,2022-06-10,True,,,90.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205803
GSE229620,Effect of genetic deletion of TREM1 on gene expression of brain primary microglia during aging and in 5XFAD Alzhiemer mice,Mus musculus,bulk RNA-seq,2024-02-09,True,,,90.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229620
GSE254227,ALS/FTD-linked TBK1 deficiency in microglia induces an aged-like microglial signature and drives social recognition deficits. [FACS_Brain_Microglia],Mus musculus,bulk RNA-seq,2025-07-09,True,,,90.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254227
GSE270687,West Nile Virus-induced expression of senescent gene Lgals3bpregulates microglial phenotype within cerebral cortex,Mus musculus,bulk RNA-seq,2024-06-25,True,,,90.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270687
GSE282391,Neuroprotective role of sialic-acid-binding immunoglobulin-like lectin-11 in humanized transgenic mice,Mus musculus,bulk RNA-seq,2024-12-20,True,,,90.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282391
GSE283401,Gene expression profile of Fcrls+/CD11b+/Ly6C- microglia from young and old mice after abdominal surgery,Mus musculus,bulk RNA-seq,2025-01-01,True,,,90.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283401
GSE287220,Age-associated microglial transcriptome leads to diminished immunogenicity and dysregulation of MCT4 and P2RY12/P2RY13 related functions,Mus musculus,bulk RNA-seq,2025-01-17,True,,,90.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE287220
GSE290810,ALS/FTD-linked TBK1 deficiency in microglia induces an aged-like microglial signature and drives social recognition deficits [FACS_SpinalCord_Microglia & LPS_Brain_SpinalCord],Mus musculus,bulk RNA-seq,2025-07-09,True,,,90.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290810
GSE80465,"Aging, microglia and cytoskeletal regulation are key factors in the pathological evolution of the APP23 mouse model for Alzheimer’s disease",Mus musculus,bulk RNA-seq,2016-12-24,True,,,90.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80465
GSE98401,MEF2C restrains microglial responses to inflammatory stimuli and is reduced upon IFN-I in brain aging,Mus musculus,bulk RNA-seq,2017-07-23,True,,,90.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE98401
GSE127963,Aged blood impairs hippocampal neural precursor activity and activates microglia via brain endothelial cell VCAM1,Mus musculus,single-cell RNA-seq,2019-03-07,True,,,89.5,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE127963
GSE204828,Comprehensive analysis of cellular senescence in the central nervous system revealed microglial senescence and its involvement in demyelinating diseases,Mus musculus,single-cell RNA-seq,2023-05-25,True,,,87.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE204828
GSE234420,cGAS/STING drives ageing-related inflammation and neurodegeneration III,Mus musculus,single-cell RNA-seq,2023-08-20,True,,,87.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234420
GSE38739,Age-related changes in gene expression in retinal microglia,Mus musculus,microarray,2012-12-01,True,,,84.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38739
GSE62420,The regional mouse microglial transcriptome during aging,Mus musculus,microarray,2015-10-01,True,,,84.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62420
GSE127758,Aged blood impairs hippocampal neural precursor activity and activates microglia via brain endothelial cell VCAM1,Mus musculus,bulk RNA-seq,2019-03-05,True,,,82.5,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE127758
GSE207932,"Gene expression profile at single-cell level of microglia from 3-, 14- and 24-month-old female mouse brains",Mus musculus,single-cell RNA-seq,2023-07-25,True,,,82.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207932
GSE208292,scRNA-seq of brain cells from 3- and 24-month-old mouse brains,Mus musculus,single-cell RNA-seq,2023-07-25,True,,,82.0,ready,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE208292
